seed,n_shot,train_acc,test_acc
1,1,[0.9920000433921814],[0.9899999499320984]
1,5,[0.999000072479248],[1.0]
1,10,[0.999000072479248],[1.0]
1,50,[0.9810000658035278],[0.9899999499320984]
1,20,[0.9960000514984131],[1.0]
2,1,[0.999000072479248],[1.0]
1,200,[1.0],[1.0]
1,500,[1.0],[1.0]
1,100,[0.9980000257492065],[1.0]
2,5,[0.9450000524520874],[0.949999988079071]
2,100,[0.9890000224113464],[1.0]
2,50,[0.9960000514984131],[1.0]
2,20,[0.9970000386238098],[1.0]
2,10,[0.9970000386238098],[0.9899999499320984]
2,200,[0.9650000333786011],[0.9699999690055847]
3,10,[0.9880000352859497],[1.0]
2,500,[0.999000072479248],[1.0]
3,5,[0.9950000643730164],[1.0]
3,1,[0.9820000529289246],[1.0]
3,20,[0.999000072479248],[1.0]
3,50,[0.9900000691413879],[1.0]
3,100,[0.9920000433921814],[0.9899999499320984]
3,500,[1.0],[1.0]
3,200,[0.9850000739097595],[1.0]
4,1,[0.984000027179718],[0.9799999594688416]
4,20,[0.9940000176429749],[1.0]
4,50,[1.0],[1.0]
4,5,[0.9970000386238098],[0.9899999499320984]
4,10,[0.999000072479248],[1.0]
4,100,[0.9940000176429749],[1.0]
5,5,[1.0],[1.0]
5,1,[0.9940000176429749],[0.9799999594688416]
4,500,[0.9910000562667847],[0.9899999499320984]
4,200,[0.9970000386238098],[1.0]
5,10,[0.999000072479248],[1.0]
5,200,[0.9900000691413879],[0.9899999499320984]
5,100,[0.9890000224113464],[1.0]
5,20,[0.9970000386238098],[1.0]
5,50,[0.999000072479248],[1.0]
5,500,[0.9980000257492065],[1.0]
